57 timesteps needed to evacuate a building with 1 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
687 timesteps needed to evacuate a building with 43 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
702 timesteps needed to evacuate a building with 44 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
717 timesteps needed to evacuate a building with 45 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
732 timesteps needed to evacuate a building with 46 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
747 timesteps needed to evacuate a building with 47 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
762 timesteps needed to evacuate a building with 48 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
777 timesteps needed to evacuate a building with 49 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
792 timesteps needed to evacuate a building with 50 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
807 timesteps needed to evacuate a building with 51 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
822 timesteps needed to evacuate a building with 52 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
837 timesteps needed to evacuate a building with 53 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
852 timesteps needed to evacuate a building with 54 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
867 timesteps needed to evacuate a building with 55 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
882 timesteps needed to evacuate a building with 56 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
897 timesteps needed to evacuate a building with 57 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
912 timesteps needed to evacuate a building with 58 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
927 timesteps needed to evacuate a building with 59 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
942 timesteps needed to evacuate a building with 60 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
957 timesteps needed to evacuate a building with 61 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
972 timesteps needed to evacuate a building with 62 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
987 timesteps needed to evacuate a building with 63 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1002 timesteps needed to evacuate a building with 64 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1017 timesteps needed to evacuate a building with 65 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1032 timesteps needed to evacuate a building with 66 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1047 timesteps needed to evacuate a building with 67 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1062 timesteps needed to evacuate a building with 68 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1077 timesteps needed to evacuate a building with 69 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1092 timesteps needed to evacuate a building with 70 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1107 timesteps needed to evacuate a building with 71 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1122 timesteps needed to evacuate a building with 72 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1137 timesteps needed to evacuate a building with 73 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1152 timesteps needed to evacuate a building with 74 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1167 timesteps needed to evacuate a building with 75 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1182 timesteps needed to evacuate a building with 76 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1197 timesteps needed to evacuate a building with 77 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1212 timesteps needed to evacuate a building with 78 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1227 timesteps needed to evacuate a building with 79 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1242 timesteps needed to evacuate a building with 80 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1257 timesteps needed to evacuate a building with 81 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1272 timesteps needed to evacuate a building with 82 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1287 timesteps needed to evacuate a building with 83 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1302 timesteps needed to evacuate a building with 84 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1317 timesteps needed to evacuate a building with 85 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1332 timesteps needed to evacuate a building with 86 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1347 timesteps needed to evacuate a building with 87 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1362 timesteps needed to evacuate a building with 88 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1377 timesteps needed to evacuate a building with 89 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1392 timesteps needed to evacuate a building with 90 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1407 timesteps needed to evacuate a building with 91 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1422 timesteps needed to evacuate a building with 92 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1437 timesteps needed to evacuate a building with 93 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1452 timesteps needed to evacuate a building with 94 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1467 timesteps needed to evacuate a building with 95 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1482 timesteps needed to evacuate a building with 96 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1497 timesteps needed to evacuate a building with 97 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1512 timesteps needed to evacuate a building with 98 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1527 timesteps needed to evacuate a building with 99 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total

///////////////////////////////////

2015 timesteps needed to evacuate a building with 50 floors  and 1 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
1025 timesteps needed to evacuate a building with 50 floors  and 2 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 3 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 4 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 5 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 6 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 7 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 8 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 9 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 10 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 11 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 12 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 13 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 14 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 15 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 16 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 17 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 18 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 19 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 20 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 21 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 22 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 23 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 24 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 25 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 26 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 27 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 28 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 29 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 30 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 31 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 32 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 33 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 34 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 35 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 36 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 37 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 38 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 39 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 40 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 41 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 42 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 43 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 44 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 45 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 46 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 47 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 48 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 49 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total

//////////////////////////////

760 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 1 tenants (or 5 ppl) per floor total
760 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 2 tenants (or 10 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 3 tenants (or 15 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 4 tenants (or 20 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 5 tenants (or 25 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 6 tenants (or 30 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 7 tenants (or 35 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 8 tenants (or 40 ppl) per floor total
779 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 9 tenants (or 45 ppl) per floor total
782 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 10 tenants (or 50 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 11 tenants (or 55 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 12 tenants (or 60 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 13 tenants (or 65 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 14 tenants (or 70 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 15 tenants (or 75 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 16 tenants (or 80 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 17 tenants (or 85 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 18 tenants (or 90 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 19 tenants (or 95 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 20 tenants (or 100 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 21 tenants (or 105 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 22 tenants (or 110 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 23 tenants (or 115 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 24 tenants (or 120 ppl) per floor total
783 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 25 tenants (or 125 ppl) per floor total
784 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 26 tenants (or 130 ppl) per floor total
786 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 27 tenants (or 135 ppl) per floor total
787 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 28 tenants (or 140 ppl) per floor total
788 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 29 tenants (or 145 ppl) per floor total
790 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 30 tenants (or 150 ppl) per floor total
791 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 31 tenants (or 155 ppl) per floor total
792 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 32 tenants (or 160 ppl) per floor total
794 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 33 tenants (or 165 ppl) per floor total
794 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 34 tenants (or 170 ppl) per floor total
795 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 35 tenants (or 175 ppl) per floor total
797 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 36 tenants (or 180 ppl) per floor total
798 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 37 tenants (or 185 ppl) per floor total
798 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 38 tenants (or 190 ppl) per floor total
800 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 39 tenants (or 195 ppl) per floor total
801 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 40 tenants (or 200 ppl) per floor total
802 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 41 tenants (or 205 ppl) per floor total
804 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 42 tenants (or 210 ppl) per floor total
805 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 43 tenants (or 215 ppl) per floor total
806 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 44 tenants (or 220 ppl) per floor total
808 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 45 tenants (or 225 ppl) per floor total
809 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 46 tenants (or 230 ppl) per floor total
810 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 47 tenants (or 235 ppl) per floor total
812 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 48 tenants (or 240 ppl) per floor total
812 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 49 tenants (or 245 ppl) per floor total
813 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 50 tenants (or 250 ppl) per floor total
815 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 51 tenants (or 255 ppl) per floor total
816 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 52 tenants (or 260 ppl) per floor total
817 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 53 tenants (or 265 ppl) per floor total
818 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 54 tenants (or 270 ppl) per floor total
819 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 55 tenants (or 275 ppl) per floor total
820 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 56 tenants (or 280 ppl) per floor total
822 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 57 tenants (or 285 ppl) per floor total
823 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 58 tenants (or 290 ppl) per floor total
824 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 59 tenants (or 295 ppl) per floor total
826 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 60 tenants (or 300 ppl) per floor total
827 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 61 tenants (or 305 ppl) per floor total
828 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 62 tenants (or 310 ppl) per floor total
829 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 63 tenants (or 315 ppl) per floor total
830 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 64 tenants (or 320 ppl) per floor total
831 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 65 tenants (or 325 ppl) per floor total
833 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 66 tenants (or 330 ppl) per floor total
834 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 67 tenants (or 335 ppl) per floor total
835 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 68 tenants (or 340 ppl) per floor total
837 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 69 tenants (or 345 ppl) per floor total
838 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 70 tenants (or 350 ppl) per floor total
839 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 71 tenants (or 355 ppl) per floor total
841 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 72 tenants (or 360 ppl) per floor total
842 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 73 tenants (or 365 ppl) per floor total
843 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 74 tenants (or 370 ppl) per floor total
845 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 75 tenants (or 375 ppl) per floor total
846 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 76 tenants (or 380 ppl) per floor total
847 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 77 tenants (or 385 ppl) per floor total
848 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 78 tenants (or 390 ppl) per floor total
849 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 79 tenants (or 395 ppl) per floor total
850 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 80 tenants (or 400 ppl) per floor total
852 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 81 tenants (or 405 ppl) per floor total
853 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 82 tenants (or 410 ppl) per floor total
854 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 83 tenants (or 415 ppl) per floor total
856 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 84 tenants (or 420 ppl) per floor total
857 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 85 tenants (or 425 ppl) per floor total
858 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 86 tenants (or 430 ppl) per floor total
860 timesteps needed to evacuate a building with 50 floors  and 50 staircases, each with capacity 15, and 87 tenants (or 435 ppl) per floor total
